,Region,Country,RE or Non-RE,Group Technology,Technology,Sub-Technology,Poducer Type,Year,Electricity Generation (GWh),Electricity Installed Capacity (MW)
0,Africa,Algeria,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2020.0,78155,23201.6
1,Africa,Algeria,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2021.0,84452,23657.6
2,Africa,Algeria,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2022.0,,24457.6
3,Africa,Algeria,Total Non-Renewable,Fossil fuels,Oil,Oil,Off-grid electricity,2020.0,,1119.6039999999994
4,Africa,Algeria,Total Non-Renewable,Fossil fuels,Oil,Oil,Off-grid electricity,2021.0,,1119.6039999999994
5,Africa,Algeria,Total Non-Renewable,Fossil fuels,Oil,Oil,Off-grid electricity,2022.0,,1119.6039999999994
6,Africa,Algeria,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2020.0,277,373
7,Africa,Algeria,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2021.0,277,373
8,Africa,Algeria,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2022.0,,373
9,Africa,Algeria,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2020.0,49.6,208.6
10,Africa,Algeria,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2021.0,9,128.9
11,Africa,Algeria,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2022.0,,128.9
12,Africa,Algeria,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2020.0,665,101.196
13,Africa,Algeria,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2021.0,642,101.196
14,Africa,Algeria,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2022.0,,113.196
15,Africa,Algeria,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2020.0,,322.2
16,Africa,Algeria,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2021.0,,322.2
17,Africa,Algeria,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2022.0,,322.2
18,Africa,Algeria,Total Renewable,Solar energy,Solar thermal energy,Concentrated solar power,On-grid electricity,2020.0,118.11,25
19,Africa,Algeria,Total Renewable,Solar energy,Solar thermal energy,Concentrated solar power,On-grid electricity,2021.0,118.11,25
20,Africa,Algeria,Total Renewable,Solar energy,Solar thermal energy,Concentrated solar power,On-grid electricity,2022.0,,25
21,Africa,Algeria,Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,Off-grid electricity,2020.0,8,10
22,Africa,Algeria,Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,Off-grid electricity,2021.0,11,10
23,Africa,Algeria,Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,Off-grid electricity,2022.0,,10
24,Africa,Angola,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2020.0,58.081,1146.04
25,Africa,Angola,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2021.0,58.081,1146.04
26,Africa,Angola,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2022.0,,1146.04
27,Africa,Angola,Total Non-Renewable,Fossil fuels,Oil,Oil,Off-grid electricity,2020.0,1909.6846170805115,526.7159999999999
28,Africa,Angola,Total Non-Renewable,Fossil fuels,Oil,Oil,Off-grid electricity,2021.0,1909.685,526.7159999999999
29,Africa,Angola,Total Non-Renewable,Fossil fuels,Oil,Oil,Off-grid electricity,2022.0,,526.7160000000003
30,Africa,Angola,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2020.0,3028.398,464.1
31,Africa,Angola,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2021.0,3028.398,464.1
32,Africa,Angola,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2022.0,,464.1
33,Africa,Angola,Total Renewable,Bioenergy,Solid biofuels,Bagasse,On-grid electricity,2020.0,200,51
34,Africa,Angola,Total Renewable,Bioenergy,Solid biofuels,Bagasse,On-grid electricity,2021.0,200,51
35,Africa,Angola,Total Renewable,Bioenergy,Solid biofuels,Bagasse,On-grid electricity,2022.0,,51
36,Africa,Angola,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,Off-grid electricity,2020.0,94.336,35.279
37,Africa,Angola,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,Off-grid electricity,2021.0,94.336,35.279
38,Africa,Angola,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,Off-grid electricity,2022.0,,35.279
39,Africa,Angola,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2020.0,13707.336,3694
40,Africa,Angola,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2021.0,13707.336,3694
