,indicator_group,year,value,indicator_name,source_comment,country,indicator_units,source_name,category_name,sub_category
0,5th percentile,2010.0,3747.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
1,Weighted average,2010.0,5123.63,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
2,95th percentile,2010.0,8312.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
3,5th percentile,2011.0,2887.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
4,Weighted average,2011.0,4391.77,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
5,95th percentile,2011.0,8199.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
6,5th percentile,2012.0,2304.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
7,Weighted average,2012.0,3343.29,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
8,95th percentile,2012.0,7120.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
9,5th percentile,2013.0,1883.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
10,Weighted average,2013.0,2934.5,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
11,95th percentile,2013.0,5914.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
12,5th percentile,2014.0,1576.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
13,Weighted average,2014.0,2651.67,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
14,95th percentile,2014.0,5709.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
15,5th percentile,2015.0,1336.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
16,Weighted average,2015.0,2016.3,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
17,95th percentile,2015.0,4477.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
18,5th percentile,2016.0,1142.0,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
19,Weighted average,2016.0,1833.12,Total installed cost ,Fig 3.3,, USD/kW,IRENA_Renewable_Power_Generation_Costs,Infrastructure,Power Infrastructure
