,country,year,value,indicator_name,indicator_topic,indicator_subtopic,indicator_group,source_description
0,Australia,2010,7749,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
1,China,2010,4104,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
2,France,2010,6137,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
3,Germany,2010,4157,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
4,India,2010,5667,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
5,Italy,2010,5811,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
6,Japan,2010,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
7,Netherlands,2010,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
8,Republic of Korea,2010,10089,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
9,Spain,2010,5241,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
10,Türkiye,2010,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
11,Ukraine,2010,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
12,United Kingdom,2010,6634,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
13,United States,2010,5142,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
14,Viet Nam,2010,,Utility-scale solar PV total installed cost,Infrastructure,Power Infrastructure,,"Figure 3.4 Utility-scale solar PV total installed cost trends in selected countries, 2010-2022"
