input_geo,indicator_name,value,indicator_subgroup,indicator_group,year,source_name,indicator_topic,indicator_subtopic,geo_name,geo_code,geo_iso,geo_parent,geo_level
Andorra,renewable energy in indc or ndc,1,HIGH INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Andorra,20.0,AD,39.0,5.0
Antigua and Barbuda,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Antigua and Barbuda,28.0,AG,29.0,5.0
Argentina,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Argentina,32.0,AR,5.0,5.0
Australia,renewable energy in indc or ndc,1,HIGH INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Australia,36.0,AU,53.0,5.0
Austria,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Austria,40.0,AT,155.0,5.0
"Bahamas, The",renewable energy in indc or ndc,1,HIGH INCOME,Revised (from previously exisiting),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Bahamas,44.0,BS,29.0,5.0
Bahrain,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Bahrain,48.0,BH,145.0,5.0
Barbados,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Barbados,52.0,BB,29.0,5.0
Belgium,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Belgium,56.0,BE,155.0,5.0
Brunei Darussalam,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Brunei Darussalam,96.0,BN,35.0,5.0
Canada,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Canada,124.0,CA,21.0,5.0
Chile,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Chile,152.0,CL,5.0,5.0
Croatia,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Croatia,191.0,HR,39.0,5.0
Cyprus,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Cyprus,196.0,CY,145.0,5.0
Czech Republic,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Czech Republic,203.0,CZ,151.0,5.0
Denmark,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Denmark,208.0,DK,154.0,5.0
Estonia,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Estonia,233.0,EE,154.0,5.0
Finland,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Finland,246.0,FI,154.0,5.0
France,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,France,250.0,FR,155.0,5.0
Germany,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Germany,276.0,DE,155.0,5.0
Greece,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Greece,300.0,GR,39.0,5.0
Hungary,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Hungary,348.0,HU,151.0,5.0
Iceland,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Iceland,352.0,IS,154.0,5.0
Ireland,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Ireland,372.0,IE,154.0,5.0
Israel,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Israel,376.0,IL,145.0,5.0
Italy,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Italy,380.0,IT,39.0,5.0
Japan,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Japan,392.0,JP,30.0,5.0
"Korea, Republic of",renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Republic of South Korea,410.0,KR,30.0,5.0
Kuwait,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Kuwait,414.0,KW,145.0,5.0
Latvia,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Latvia,428.0,LV,154.0,5.0
Liechtenstein,renewable energy in indc or ndc,1,HIGH INCOME,Existing national (could also include sub-national),2022,REN21 Data Tool,Policy Enablers,Sustainability Targets,Liechtenstein,438.0,LI,155.0,5.0
